Name;Category Normalized Citation Impact;% Documents in Top 1%;% Documents in Top 10%;Average Percentile;% Industry Collaborations;% International Collaborations;% Documents in Q1 Journals
UNITED ARAB EMIRATES;0.991645191;1.037026218;9.423306312;61.8959802;1.940164074;60.04527861;41.39024114
BANGLADESH;0.925572179;1.038928527;8.276380023;64.12904137;0.928777068;53.48353987;35.10692681
ESTONIA;1.323869112;1.980371979;12.47458648;56.05959646;1.940212344;49.93097563;45.13634821
KENYA;1.271464706;1.792635659;12.23225214;54.34630246;1.226540188;68.65820073;48.12740077
BELARUS;0.617556543;0.939815178;5.869263593;71.74643603;0.55760622;43.12154768;29.15687069
PHILIPPINES;1.070675391;1.528685331;9.798573227;63.81877285;2.185120796;51.18997662;41.11690246
JORDAN;0.869629712;0.835127553;7.137730802;62.60885116;0.70790109;45.79174007;28.31811374
LEBANON;1.004280671;1.16985772;8.600035131;62.88848664;1.812752503;53.83804672;41.94902397
LATVIA;0.890150337;0.967953415;7.890170067;69.69202178;1.09907061;35.60603139;37.43673469
KUWAIT;0.712929169;0.672942119;6.412978169;63.95377563;1.217704787;38.97456439;33.19897144
CUBA;0.635387827;0.66644726;5.817014974;66.73951877;0.452525917;57.07997367;32.23165372
ICELAND;1.640332019;2.655749969;15.29030381;52.18993695;2.905116163;64.27829267;52.5284108
PERU;1.257160418;2.060881886;11.33914388;60.40214306;2.400068696;70.90292388;49.42521744
